Date,Close,High,Low,Open,Volume,daily_return_pct,ma_20,ma_50
2025-09-19,244.8074188232422,245.60516498271895,239.53234916144805,240.5494606794321,163741300,3.203299068174581,233.70981216430664,223.19683868408202
2025-09-22,255.35755920410156,255.9160073848096,247.42002368458668,247.5995237986898,105517400,4.309567263758818,235.12181701660157,224.09747772216798
2025-09-23,253.71221923828125,256.6140134777918,252.86462630601793,255.15814081026073,60275200,-0.6443278871197333,236.48147048950196,225.01580993652342
2025-09-24,251.59820556640625,255.01853710208397,250.33178410429736,254.49999981420794,42303700,-0.8332328960039437,237.62822647094725,225.88210021972657
2025-09-25,256.14532470703125,256.4444966190252,250.99989343760635,252.49566170312627,55202100,1.8072939472633998,238.9435043334961,226.81841583251952
2025-09-26,254.73931884765625,256.87328100426123,253.06405044687503,253.38315498635407,46076300,-0.54890943685314,240.08527374267578,227.72940032958985
2025-09-29,253.71221923828125,254.28061851263055,252.29622703166862,253.84185736381545,40127700,-0.4031963397017835,241.1966293334961,228.59673461914062
2025-09-30,253.9116668701172,255.1980209495745,252.39595068950493,254.1410137555297,37704300,0.07861175643599783,242.43861541748046,229.44216064453124
2025-10-01,254.72933959960938,258.0599285933123,254.21080232618834,254.32049261064776,48713900,0.32203038937570483,243.28521957397462,230.2656918334961
2025-10-02,256.40460205078125,257.45162766856953,253.43299812845933,255.85613542550084,42630200,0.6576637201686664,244.15027236938477,231.1277084350586
2025-10-03,257.2920837402344,258.5086431914624,253.23357360959045,253.9515436206674,49155600,0.34612549164674267,245.06418685913087,232.0152438354492
2025-10-06,255.96583557128906,258.33912604890287,254.3304629034206,257.2621558739689,44664100,-0.5154640398047805,246.00203323364258,232.8738638305664
2025-10-07,255.75645446777344,256.6738420114173,254.70939836699205,256.0855101139428,31955800,-0.08180041021814688,247.10541229248048,233.7249090576172
2025-10-08,257.3320007324219,257.7906945345413,255.38748958216482,255.79633660873378,36496900,0.6160338232429563,248.66450271606445,234.66284576416015
2025-10-09,253.32330322265625,257.27213808351553,252.42584836214985,257.08267167133846,38322000,-1.5577920734133444,249.8616149902344,235.56483306884766
2025-10-10,244.57806396484375,255.6567217403356,243.3116425485481,254.2207817432353,61999100,-3.452204809648307,250.42003479003907,236.32139892578124
2025-10-13,246.96133422851562,248.98560621270488,244.86725241658198,248.67648318296307,38142900,0.9744415443628807,250.96649017333985,237.2290197753906
2025-10-14,247.07101440429688,248.14796941642882,244.00966795095763,245.90431694508948,35478000,0.04441188177246591,251.44613342285157,238.11951080322265
2025-10-15,248.63658142089844,251.10959602979932,246.77186176083558,248.78616738422895,33893600,0.6336506208048043,251.9621726989746,239.0498794555664
2025-10-16,246.75192260742188,248.33743345063007,244.43847540742667,247.54966879270205,39777000,-0.7579973963228515,252.43932342529297,239.73677124023436
2025-10-17,251.5782470703125,252.66518358811555,246.57242016484557,247.3203043073955,49147000,1.9559419889786378,252.7778648376465,240.3851254272461
2025-10-20,261.50018310546875,263.63416054313814,254.90884523128253,255.168106265739,90483000,3.9438767662544505,253.08499603271486,241.0462548828125
2025-10-21,262.0286560058594,264.5415659974475,261.0913055219307,261.1411827196178,46695900,0.202092745830873,253.50081787109374,241.75604614257813
2025-10-22,257.72088623046875,262.1084670888602,254.70938662410154,261.9090191460537,45015300,-1.6440071254245958,253.80695190429688,242.3304214477539
2025-10-23,258.84765625,259.8847307097371,257.2821086816683,259.2066564378435,32754900,0.43720555055193344,253.94206848144532,242.85393951416015
2025-10-24,262.0785827636719,263.3848847726989,258.4488367256365,260.4531761824355,38253700,1.2481961631328753,254.30903167724608,243.45304534912108
2025-10-27,268.0516662597656,268.36078929414754,263.90339825112477,264.13276036080543,44888200,2.2791192752595,255.0260040283203,244.19534576416015
2025-10-28,268.2411193847656,269.12862319727753,267.39351124836816,268.23113785786586,41534800,0.07067783895675639,255.74247665405272,244.9553955078125
2025-10-29,268.93914794921875,270.6443152614699,266.35642794866993,268.5203194424725,51086700,0.26022429598195895,256.4529670715332,245.73598724365235
2025-10-30,270.63433837890625,273.36662916750566,267.72259312931254,271.2226702585742,69886500,0.6303249053230431,257.16445388793943,246.64122619628907
2025-10-31,269.6072692871094,276.53767519933945,268.40069127196034,276.2085891024436,86167100,-0.37950435186790976,257.7802131652832,247.54806091308595
2025-11-03,268.29095458984375,270.08589475979994,265.49886601188945,269.65711516237894,50194600,-0.48823412690103263,258.39646911621094,248.37153076171876
2025-11-04,269.2781982421875,270.72408938596277,266.86501191822913,267.5730004152706,49274800,0.3679750045442409,259.07255630493165,249.22671173095702
2025-11-05,269.3779296875,270.9335263776032,266.17696342424256,267.8522167164328,43683100,0.037036583712879434,259.6748527526855,250.04100860595702
2025-11-06,269.0089416503906,272.6287059365568,267.1342708755924,267.1342708755924,51204000,-0.13697782796735503,260.4591346740723,250.82439208984374
2025-11-07,267.7126159667969,271.5218466038475,266.0173996929098,269.03885049148494,48227400,-0.4818894404181151,261.6158622741699,251.54056579589843
2025-11-10,268.93035888671875,273.22240319845355,266.96401085683,268.46122924118225,41312400,0.454869456011342,262.7143135070801,252.2894708251953
2025-11-11,274.73956298828125,275.3983427074405,269.2996575494418,269.3096487524697,46208300,2.160114657791201,264.0977409362793,253.20282318115235
2025-11-12,272.9628601074219,275.2186787593472,271.19615348009904,274.49002155435767,48398000,-0.6466862149501096,265.31405487060545,253.90613525390626
2025-11-13,272.44384765625,276.1868935731559,271.5854266195937,273.6016697208788,49602800,-0.19014031834500011,266.59865112304686,254.57294128417968
2025-11-14,271.9048156738281,275.44821996704485,269.10002929321837,270.54732197227213,47431300,-0.197850671637112,267.61497955322267,255.23076171875
2025-11-17,266.9639892578125,269.98836893107386,265.237217022597,268.3214829895084,45018300,-1.8171161859606544,267.88816986083987,255.82586334228515
2025-11-18,266.9440612792969,270.2079864201871,264.8279974843966,269.48932037088264,45677300,-0.007464669137968727,268.1339401245117,256.4909671020508
2025-11-19,268.06195068359375,271.7051756343288,265.00762791735707,265.0375710636542,40424500,0.41877290655560895,268.65099334716797,257.32920227050784
2025-11-20,265.7562561035156,274.91922505965954,265.42688147061517,270.327749378444,45823600,-0.8601349703672212,268.9964233398438,258.056706237793
2025-11-21,270.98651123046875,272.8230952896135,265.17732758833057,265.4568071090486,59030800,1.9680647235321702,269.4418197631836,258.80824310302734
2025-11-24,275.4083251953125,276.4863089537433,270.397615191446,270.397615191446,65585800,1.6317468883471742,269.8096527099609,259.5957650756836
